"Renewable quarterly electricity capacity and generation, quarterly data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This worksheet contains 4 tables, arranged vertically on top of each other and separated by a blank row",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[x] is used to indicate data not available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units are specified in the table header or in the row label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUMULATIVE INSTALLED CAPACITY (MW) 
Solar photovoltaics,8.6,12.3,11.4,5.0,6.1,17.2,13.5,3.5,7.1,14.6,16.3,4.9,3.2,13.3,14.9,5.0,5.5,13.3,13.5,4.6,6.5,17.6,14.5,4.0,6.5,15.8,14.6,5.1,6.2,17.0,14.4,4.7,6.4,17.3,15.6,5.2,6.8,16.0,15.7,4.8,6.5,18.5,14.5,4.6,5.8,16.6,13.5,4.6,6.9,,,
Hydro,23.9,18.2,23.6,34.0,36.4,31.3,33.3,54.4,49.7,21.6,28.3,43.8,34.3,26.2,19.8,46.1,60.6,29.7,20.5,46.0,53.7,37.5,26.7,47.1,53.6,24.0,28.9,30.0,45.4,21.5,30.9,47.4,38.7,23.3,21.5,49.1,46.7,20.3,34.7,44.4,60.2,24.6,29.1,54.1,43.4,24.3,16.2,50.6,45.3,,,
Landfill gas ,60.9,58.2,57.8,58.7,59.3,57.3,56.7,58.3,57.3,56.8,56.8,56.8,57.4,56.4,54.9,56.7,55.9,54.8,53.1,54.1,54.2,52.3,51.2,52.1,52.5,50.5,49.4,49.3,47.7,45.5,45.2,45.3,43.7,42.1,40.8,41.6,40.7,38.7,39.1,40.0,38.7,37.7,37.5,38.7,36.7,35.7,36.1,36.5,34.4,,,
Sewage sludge digestion,47.5,46.8,43.9,42.9,45.3,46.2,43.4,44.9,43.2,41.3,37.9,39.9,40.8,47.3,41.7,44.5,42.7,46.9,42.0,42.8,45.1,46.1,42.4,43.1,44.3,44.7,40.3,41.3,45.3,46.0,42.7,44.8,45.7,48.9,41.9,47.4,49.4,50.1,47.8,49.1,49.9,51.8,47.6,50.0,49.1,50.9,45.9,48.6,45.6,,,
Energy from waste,44.1,42.5,41.5,42.8,41.9,40.0,40.5,37.3,38.7,39.6,42.2,40.6,36.5,33.9,34.8,34.3,38.1,35.1,35.2,33.2,37.3,33.1,35.5,33.8,35.7,30.5,31.8,31.9,37.1,35.0,36.5,35.6,36.3,35.2,34.8,34.8,36.2,36.5,38.9,38.6,39.2,37.5,36.0,33.7,37.0,35.6,36.2,36.9,36.6,,,
Animal Biomass (non-AD),69.8,66.2,58.5,63.7,66.3,63.5,62.9,60.3,73.3,58.3,58.6,73.4,69.2,69.0,58.8,61.6,66.3,66.4,53.9,66.1,71.0,70.9,58.1,67.7,65.4,58.5,49.2,60.7,62.4,58.7,49.3,59.0,61.5,57.8,45.6,59.1,60.2,59.8,52.1,63.8,62.5,57.0,50.9,59.9,58.3,58.4,47.4,55.9,59.2,,,
Anaerobic Digestion,42.9,40.8,50.4,65.9,60.6,54.4,51.2,52.6,59.3,63.9,62.2,61.9,59.6,59.0,59.9,61.1,59.8,57.7,57.7,58.2,59.9,60.4,59.4,60.9,65.7,63.2,64.2,61.6,64.0,62.0,61.2,60.4,61.5,60.9,60.8,60.8,63.6,62.2,64.4,63.8,62.1,61.2,63.3,62.9,64.0,63.1,67.4,65.2,61.3,,,
Plant Biomass,54.0,60.4,58.8,60.6,62.4,66.6,64.0,25.3,42.3,17.6,35.5,63.7,50.6,51.6,41.9,48.3,51.4,66.4,73.0,85.3,88.5,88.0,75.6,88.6,95.7,82.0,56.5,76.0,94.3,74.6,72.0,65.1,69.9,73.9,65.2,69.1,61.3,61.7,61.8,73.3,71.6,67.8,61.8,69.7,72.3,66.0,60.7,74.7,67.9,,,
TOTAL (excluding co-firing and non-biodegradable wastes),31.6,25.3,30.8,35.4,35.7,34.7,30.6,41.9,36.8,25.7,28.3,36.3,33.3,31.8,24.8,38.6,40.0,26.3,25.4,36.1,38.1,32.2,27.7,35.1,33.8,27.3,25.8,26.4,32.0,28.4,26.4,31.4,32.2,26.4,25.9,33.0,32.4,26.8,29.0,32.6,39.9,28.7,28.4,33.7,33.7,25.8,22.7,33.7,35.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARES OF ELECTRICITY GENERATED  (%),"2010 
1st quarter","2010 
2nd quarter","2010 
3rd quarter","2010 
4th quarter","2011 
1st quarter","2011 
2nd quarter","2011 
3rd quarter","2011 
4th quarter","2012 
1st quarter","2012 
2nd quarter","2012 
3rd quarter","2012 
4th quarter","2013 
1st quarter","2013 
2nd quarter","2013 
3rd quarter","2013 
4th quarter","2014 
1st quarter","2014 
2nd quarter","2014 
3rd quarter","2014 
4th quarter","2015 
1st quarter","2015 
2nd quarter","2015 
3rd quarter","2015 
4th quarter","2016 
1st quarter","2016 
2nd quarter","2016 
3rd quarter","2016 
4th quarter","2017 
1st quarter","2017 
2nd quarter","2017 
3rd quarter","2017 
4th quarter","2018 
1st quarter","2018 
2nd quarter","2018 
3rd quarter","2018 
4th quarter","2019 
1st quarter","2019 
2nd quarter","2019 
3rd quarter","2019 
4th quarter","2020 
1st quarter","2020 
2nd quarter","2020 
3rd quarter","2020 
4th quarter","2021 
1st quarter","2021 
2nd quarter","2021 
3rd quarter","2021
4th quarter","2022
1st quarter",,,
Onshore wind,1.6,1.4,2.3,2.2,2.3,2.9,2.3,4.2,3.6,2.6,3.3,3.9,3.9,4.6,3.5,6.7,7.1,3.9,3.8,6.6,7.5,6.1,5.0,8.1,6.9,5.1,6.1,6.3,8.3,8.0,7.5,9.9,10.2,7.1,7.4,11.3,11.3,8.0,9.2,10.5,14.9,9.1,9.1,10.9,11.8,7.3,5.9,11.9,14.0,,,
Offshore wind,0.6,0.5,1.0,1.1,1.0,1.3,1.3,2.0,1.5,1.9,2.1,2.8,2.8,3.1,2.5,4.4,4.7,2.7,2.9,5.2,4.9,4.6,4.5,6.5,5.6,4.2,4.7,4.8,5.5,5.2,5.2,8.5,8.5,6.1,6.7,10.1,9.9,7.9,9.7,11.8,15.4,10.9,10.9,14.1,13.3,8.5,9.0,14.4,15.1,,,
Shoreline wave / tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Solar photovoltaics,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.5,0.7,0.2,0.1,0.8,1.1,0.3,0.5,1.9,2.1,0.6,1.0,4.0,3.5,0.9,1.6,5.0,4.9,1.4,1.7,6.0,5.2,1.4,1.9,6.4,6.0,1.7,2.2,6.1,6.1,1.6,2.2,8.1,5.7,1.6,2.0,6.8,5.9,1.7,2.5,,,
Hydro,0.8,0.8,1.0,1.2,1.3,1.3,1.5,2.1,1.8,0.9,1.3,1.7,1.2,1.2,0.9,1.9,2.4,1.4,1.0,2.0,2.1,1.8,1.3,2.1,2.3,1.2,1.5,1.3,1.9,1.1,1.7,2.1,1.7,1.2,1.2,2.3,2.2,1.1,1.9,2.1,2.8,1.5,1.6,2.6,2.1,1.4,1.0,2.5,2.2,,,
Bioenergy and waste,2.7,3.4,3.8,3.1,3.3,3.7,4.0,3.6,3.9,3.5,4.4,4.4,4.1,6.0,5.6,4.7,4.9,6.9,7.8,7.4,7.3,8.9,9.2,9.3,9.3,9.9,8.2,8.2,9.6,10.2,10.3,8.0,8.3,11.2,11.7,11.2,10.2,12.1,12.2,11.8,11.9,14.8,12.5,11.7,12.3,13.4,13.5,12.8,11.8,,,
All renewables,5.8,6.1,8.2,7.6,7.8,9.4,9.2,11.9,11.0,9.5,11.7,13.0,12.1,15.8,13.6,18.0,19.6,16.7,17.6,21.9,22.8,25.3,23.6,26.8,25.5,25.3,25.4,22.0,27.0,30.5,29.9,29.9,30.6,32.1,33.0,36.7,35.7,35.2,39.1,37.8,47.2,44.4,39.8,40.9,41.6,37.3,35.3,43.1,45.5,,,
"TOTAL ELECTRICITY GENERATED (inc. non-renewables) (GWh) 
[note 12]","108,183","86,507","82,878","104,501","103,370","85,066","83,420","96,126","99,899","85,328","81,440","97,206","101,370","83,733","79,501","93,680","93,478","78,664","76,122","89,832","95,549","78,526","76,324","88,476","92,166","77,992","76,021","92,986","93,650","76,949","75,445","92,153","93,465","76,928","75,035","87,296","87,301","75,418","74,037","87,107","86,854","66,906","73,521","84,979","84,127","73,014","68,041","83,478","83,973",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
